Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-09-30,2019,9,30,Monday,39,2019-39,287.7,288.62,286.57,288.11,2151500,273.38,0.00755373030599249,274.18928571428575,268.5578
2019-10-01,2019,10,1,Tuesday,39,2019-39,288.04,288.68,283.18,283.93,2648900,269.41,-0.014508264011668714,273.7314285714286,268.64079999999996
2019-10-02,2019,10,2,Wednesday,39,2019-39,283.23,285.79,282.22,285.11,2480600,270.53,0.004156078709719457,273.4071428571429,268.74760000000003
2019-10-03,2019,10,3,Thursday,39,2019-39,285.39,290.86,281.6,289.0,3590200,274.22,0.01364362992504109,273.2107142857143,268.9144
2019-10-04,2019,10,4,Friday,39,2019-39,287.85,291.95,283.32,291.67,4513300,276.75,0.009238821367800076,273.41214285714284,269.1512
2019-10-07,2019,10,7,Monday,40,2019-40,291.04,295.69,290.5,293.41,1988700,278.41,0.005965692718251203,273.54785714285714,269.3916
2019-10-08,2019,10,8,Tuesday,40,2019-40,292.95,295.58,290.45,291.89,2201100,276.96,-0.005180433876135204,273.5107142857143,269.62640000000005
2019-10-09,2019,10,9,Wednesday,40,2019-40,293.11,298.57,293.11,296.9,2235500,281.72,0.017163960047283267,274.12571428571425,269.9684
2019-10-10,2019,10,10,Thursday,40,2019-40,298.63,299.48,296.26,297.14,1637500,281.94,0.0008084451810688176,274.85571428571427,270.388
2019-10-11,2019,10,11,Friday,40,2019-40,298.07,300.76,297.36,297.6,1855500,282.38,0.0015480427412197795,275.5357142857143,270.8366
2019-10-14,2019,10,14,Monday,41,2019-41,298.0,300.34,297.5,297.52,1297600,282.31,-0.0002691000225331086,276.1871428571429,271.323
2019-10-15,2019,10,15,Tuesday,41,2019-41,298.32,299.64,297.23,298.39,1580700,283.13,0.002924466857465724,276.8564285714286,271.9658
2019-10-16,2019,10,16,Wednesday,41,2019-41,296.8,298.97,295.08,298.78,1811100,283.5,0.0013070151120524454,277.56928571428574,272.5364
2019-10-17,2019,10,17,Thursday,41,2019-41,298.85,302.61,298.85,302.4,1734600,286.94,0.012115821366206259,278.6842857142857,273.0812
2019-10-18,2019,10,18,Friday,41,2019-41,302.0,304.0,300.98,302.86,1853900,287.37,0.0015212223978646744,279.68357142857144,273.6252
2019-10-21,2019,10,21,Monday,42,2019-42,303.0,303.51,300.17,301.08,1322900,285.68,-0.005877486696380108,280.8457142857143,274.1516
2019-10-22,2019,10,22,Tuesday,42,2019-42,301.61,304.88,299.95,299.97,1955600,284.63,-0.0036864679812469436,281.85285714285715,274.7068
2019-10-23,2019,10,23,Wednesday,42,2019-42,299.58,300.05,297.18,297.32,1798700,282.12,-0.008834584894165776,282.4171428571429,275.1182
2019-10-24,2019,10,24,Thursday,42,2019-42,295.05,298.28,294.56,297.05,2056700,281.86,-0.0009080134949368546,282.7821428571429,275.67780000000005
2019-10-25,2019,10,25,Friday,42,2019-42,295.52,297.25,295.11,296.5,1686200,281.34,-0.0018512419171927696,282.99142857142857,276.1632
2019-10-28,2019,10,28,Monday,43,2019-43,295.7,299.09,295.21,298.94,1672600,283.65,0.008229430437416196,283.4692857142857,276.646
2019-10-29,2019,10,29,Tuesday,43,2019-43,298.21,298.94,295.81,295.86,1295300,280.73,-0.010303150279782236,283.3985714285714,277.0418
2019-10-30,2019,10,30,Wednesday,43,2019-43,296.92,300.25,295.97,299.84,1264300,284.51,0.013452274250418395,283.58214285714286,277.5632
2019-10-31,2019,10,31,Thursday,43,2019-43,298.36,299.62,294.55,297.11,2277400,282.53,-0.006952268824779728,283.5928571428571,277.9938
2019-11-01,2019,11,1,Friday,43,2019-43,297.99,298.42,295.5,296.09,1364500,281.56,-0.0034330687160303297,283.5392857142857,278.3246
2019-11-04,2019,11,4,Monday,44,2019-44,297.16,298.22,295.17,296.82,1651600,282.25,0.002465501459715247,283.4764285714285,278.7812
2019-11-05,2019,11,5,Tuesday,44,2019-44,297.09,299.69,295.81,299.18,2204500,284.5,0.00795081600309322,283.54785714285714,279.1984
2019-11-06,2019,11,6,Wednesday,44,2019-44,299.97,301.65,297.93,301.57,1675000,286.77,0.007988609797607849,283.5357142857143,279.3974
2019-11-07,2019,11,7,Thursday,44,2019-44,303.93,307.1,302.48,305.21,2399400,290.23,0.012070294462912079,283.73999999999995,279.6258
2019-11-08,2019,11,8,Friday,44,2019-44,302.74,304.29,301.28,302.62,1501600,287.77,-0.008486067833444522,283.8892857142857,279.7532
2019-11-11,2019,11,11,Monday,45,2019-45,301.55,302.33,299.7,300.84,1160900,286.08,-0.005882016702954962,283.99285714285713,279.88100000000003
2019-11-12,2019,11,12,Tuesday,45,2019-45,300.83,302.73,298.66,300.5,1540800,285.75,-0.001130132266225603,284.2521428571428,280.0538
2019-11-13,2019,11,13,Wednesday,45,2019-45,300.18,304.0,299.52,302.9,1517900,288.03,0.007986838297095122,284.6928571428571,280.1948
2019-11-14,2019,11,14,Thursday,45,2019-45,304.39,305.89,302.27,304.59,1336400,289.64,0.0055792797761040624,285.2857142857143,280.35200000000003
2019-11-15,2019,11,15,Friday,45,2019-45,305.31,305.44,301.6,303.66,1706100,288.76,-0.0030533220299623354,285.6507142857143,280.3626
